player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Omar Cook,"cook,omar",2005,5,74,0.417,0.03,0.078,0.18,0.125,0.193,0.189,0.487,0.167,0.008,0.042,3.9,0.5,0,0.054,0.49,99.5,33,23%,108,-1.5,1,0,2004,2,0,None,1
David Cooke,"Cooke,David",1986,6,38,0.182,0.15,0.148,0.133,0.455,0.159,0.191,0.031,0,0,0.05,6.3,0.182,,0.149,0.41,76.3,11,19%,102.5,-5,-2,-0.1,1986,1,0,None,4
Jack Cooley,"Cooley,Jack",2015,16,87,0.409,0.133,0.198,0.104,0.409,0.153,0.189,0.018,0,0.021,0.037,12.7,0.409,,0.166,0.49,94.4,27,18%,94.7,0,4,0.1,2015,1,0,None,4.5
Duane Cooper,"Cooper,Duane",1993,65,645,0.415,0.023,0.066,0.293,0.158,0.139,0.134,0.315,0.19,0.002,0.014,4.9,0.43,0.233,0.044,0.43,89.4,211,18%,113.6,-4.5,-33,-1.1,1993,1,0,None,1.5
Duane Cooper,"Cooper,Duane",1994,23,136,0.451,0.017,0.057,0.324,0.268,0.168,0.17,0.279,0.171,0,0.011,4.2,0.5,0.143,0.037,0.44,89.5,55,23%,109.6,-4.1,-6,-0.2,1993,2,0,None,1.5
Joe Cooper,"Cooper,Joe",1982,1,11,0.5,0.102,0.104,0.373,0,0.1,0.088,0,0,0,0,8.7,0.5,,0.103,0.39,77.8,2,11%,108.2,-4.4,-1,0,1982,1,0,None,4.5
Joe Cooper,"Cooper,Joe",1983,20,333,0.514,0.139,0.15,0.298,0.222,0.116,0.121,0.063,0,0.033,0.013,7.1,0.514,,0.144,0.48,94.2,101,15%,106.7,-2.5,-3,-0.1,1982,2,0,None,4.5
Joe Cooper,"Cooper,Joe",1985,3,45,0.467,0.077,0.155,0,0.2,0.19,0.195,0.066,0,0.012,0.021,7.5,0.467,,0.116,0.58,112.3,16,15%,106.4,0.6,2,0.1,1982,4,0,None,4.5
Michael Cooper,"Cooper,Michael",1979,3,7,0.5,0,0,0.194,0,0.458,0.412,0,0,0,0.065,6.9,0.5,,0,0.39,79,4,34%,99.8,-6.9,-1,0,,,0,None,
Michael Cooper,"Cooper,Michael",1980,82,1973,0.529,0.061,0.065,0.204,0.192,0.158,0.156,0.135,0.035,0.01,0.02,5.2,0.534,0.25,0.063,0.53,107.7,748,16%,107.1,-0.3,72,2.4,,,0,None,
Michael Cooper,"Cooper,Michael",1981,81,2625,0.494,0.053,0.084,0.205,0.179,0.134,0.131,0.152,0.029,0.015,0.024,4.6,0.499,0.211,0.069,0.53,105.9,846,14%,105.7,-0.4,88,2.9,,,0,None,
Michael Cooper,"Cooper,Michael",1982,76,2197,0.518,0.043,0.088,0.186,0.188,0.177,0.173,0.129,0.023,0.014,0.025,4.7,0.526,0.118,0.067,0.54,108.7,882,17%,105.7,0.3,107,3.6,,,0,None,
Michael Cooper,"Cooper,Michael",1983,82,2148,0.54,0.044,0.095,0.205,0.205,0.122,0.121,0.167,0.042,0.012,0.025,4.6,0.548,0.238,0.071,0.56,114,711,13%,105.4,0.6,116,3.9,,,0,None,
Michael Cooper,"Cooper,Michael",1984,82,2387,0.532,0.027,0.092,0.198,0.282,0.125,0.127,0.235,0.22,0.015,0.022,5.4,0.549,0.314,0.062,0.56,118,881,14%,107.3,1.1,156,5.2,,,0,None,
